structure_inchikey_no_stereo	structure_tax_cla_chemontid	structure_tax_cla_01kin	structure_tax_cla_02sup	structure_tax_cla_03cla	structure_tax_cla_04dirpar
HVYWMOMLDIMFJA	0001469	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Cholesterols and derivatives
PBWOIPCULUXTNY	0001553	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids
KZJWDPNRJALLNS	0002031	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Stigmastanes and derivatives
INDVLXYUCBVVKW	0001403	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Ergosterols and derivatives
CGUJNZGCCXPWEZ	0001403	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Ergosterols and derivatives
GHGKPLPBPGYSOO	0002031	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Stigmastanes and derivatives
QXDHYSHOINNEAZ	0001403	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Ergosterols and derivatives
YYLFLRIUDMIWTD	0002031	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Stigmastanes and derivatives
ZTJFINKUHDHOSM	0002031	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Stigmastanes and derivatives
HCXVJBMSMIARIN	0002031	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Stigmastanes and derivatives
SGNBVLSWZMBQTH	0001403	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Ergosterols and derivatives
OSELKOCHBMDKEJ	0002031	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Stigmastanes and derivatives
ONQRKEUAIJMULO	0002321	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Cycloartanols and derivatives
ZQPPMHVWECSIRJ	0002949	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Long-chain fatty acids
DTOSIQBPPRVQHS	0000504	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Lineolic acids and derivatives
OYHQOLUKZRVURQ	0000504	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Lineolic acids and derivatives
QIQXTHQIDYTFRH	0002949	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Long-chain fatty acids
IPCSVZSSVZVIGE	0002949	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Long-chain fatty acids
HUNLTIZKNQDZEI	0002321	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Cycloartanols and derivatives
UVFOSIJDDUBTBX	0000258	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Steroids and steroid derivatives
XAKUWRNEOJQHNR	0000258	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Steroids and steroid derivatives
VEVKLOLYYQLRRV	0001823	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Hopanoids
DBCAVZSSFGIHQZ	0002883	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Scalarane sesterterpenoids
QIPITLICOVJMDG	0001823	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Hopanoids
BCQNFYWIPQQTGS	0000258	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Steroids and steroid derivatives
LFPVZIIPFONRSW	0001823	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Hopanoids
VQSNHPSNPFDOJF	0003233	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	3-beta-hydroxysteroids
BWGQUGBECNWWDB	0001469	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Cholesterols and derivatives
BKWBRNDZAJHCMT	0003233 $ 0003027	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	3-beta-hydroxysteroids $ 3-hydroxysteroids
HWRYKNYRSRPFPM	0003232 $ 0003233	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	3-alpha-hydroxysteroids $ 3-beta-hydroxysteroids
OQEPDPMGQCDEFJ	0002031	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Stigmastanes and derivatives
NADSFPYUTGUROD	0001469	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Cholesterols and derivatives
AVSXSVCZWQODGV	0001469	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Cholesterols and derivatives
UPGTYLFCVNHBTN	0001469	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Cholesterols and derivatives
CQSRUKJFZKVYCY	0002031	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Stigmastanes and derivatives
GVTVGGOAMMTPEH	0001469	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Cholesterols and derivatives
RUVUHIUYGJBLGI	0002031	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Stigmastanes and derivatives
NYOXRYYXRWJDKP	0001469	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Cholesterols and derivatives
QYIXCDOBOSTCEI	0001469	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Cholesterols and derivatives
CSVWWLUMXNHWSU	0002031	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Stigmastanes and derivatives
NYWZDGGKTLARLX	0001403	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Ergosterols and derivatives
MQDWBAYFXRRHRX	0003232	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	3-alpha-hydroxysteroids
PRKPDIRLXGMLSU	0001403	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Ergosterols and derivatives
FFRFYWBYDZTBDQ	0001468	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Gluco/mineralocorticoids, progestogins and derivatives
UBEHHDQAQBJTAE	0003233	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	3-beta-hydroxysteroids
LGJMUZUPVCAVPU	0002031	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Stigmastanes and derivatives
ARYTXMNEANMLMU	0001403	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Ergosterols and derivatives
LJNASASDNLCNOS	0001403	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Ergosterols and derivatives
OILXMJHPFNGGTO	0001403	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Ergosterols and derivatives
JKNOXDGSYQSJQT	0002031	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Stigmastanes and derivatives
JRMPVNVOLQJLJX	0001403	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Ergosterols and derivatives
OWYXOXZSAKVGHJ	0001403	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Ergosterols and derivatives
QQIOPZFVTIHASB	0001403	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Ergosterols and derivatives
MKGZDUKUQPPHFM	0002031	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Stigmastanes and derivatives
